order_id,customer_id,product_id,order_date,quantity,unit_price,discount_pct,order_status
O00001,C0078,P007,2025-05-27,2,199,15,CANCELLED
O00002,C0033,P029,2025-03-14,1,249,5,PLACED
O00003,C0001,P011,2025-04-03,3,149,10,RETURNED
O00004,C0055,P018,2025-03-03,1,99,0,RETURNED
O00005,C0005,P027,2025-06-03,5,499,0,CANCELLED
O00006,C0017,P002,2025-05-18,3,99,5,SHIPPED
O00007,C0032,P022,2025-03-27,3,499,10,RETURNED
O00008,C0020,P030,2025-04-30,2,149,10,PLACED
O00009,C0023,P024,2025-05-25,4,149,5,SHIPPED
O00010,C0014,P013,2025-03-10,4,149,0,CANCELLED
O00011,C0045,P010,2025-04-28,2,99,0,CANCELLED
O00012,C0043,P009,2025-03-18,3,199,15,CANCELLED
O00013,C0069,P011,2025-03-08,1,199,0,RETURNED
O00014,C0034,P002,2025-03-28,5,249,5,DELIVERED
O00015,C0056,P020,2025-07-09,1,249,15,SHIPPED
O00016,C0033,P002,2025-06-20,1,499,15,SHIPPED
O00017,C0047,P014,2025-03-18,3,499,5,PLACED
O00018,C0039,P017,2025-05-19,4,199,10,DELIVERED
O00019,C0071,P005,2025-04-19,4,249,0,RETURNED
O00020,C0073,P010,2025-06-12,5,99,5,DELIVERED
O00021,C0027,P014,2025-07-27,5,199,10,CANCELLED
O00022,C0057,P022,2025-04-24,5,249,0,PLACED
O00023,C0037,P017,2025-08-17,5,199,0,SHIPPED
O00024,C0040,P008,2025-04-20,2,99,0,SHIPPED
O00025,C0061,P020,2025-03-19,4,249,15,SHIPPED
O00026,C0050,P016,2025-06-11,2,149,0,PLACED
O00027,C0055,P008,2025-04-15,5,249,0,RETURNED
O00028,C0032,P030,2025-04-01,4,149,10,RETURNED
O00029,C0072,P020,2025-05-21,4,499,15,CANCELLED
O00030,C0071,P015,2025-04-10,4,249,5,SHIPPED
O00031,C0036,P025,2025-07-12,-2,249,0,DELIVERED
O00032,C0057,P003,2025-05-13,2,199,5,DELIVERED
O00033,C0070,P003,2025-04-05,2,149,10,SHIPPED
O00034,C0028,P003,2025-06-15,4,199,15,CANCELLED
O00035,C0054,P002,2025-04-22,4,249,15,PLACED
O00036,C0074,P013,2025-07-01,1,199,5,CANCELLED
O00037,C0054,P018,2025-07-18,5,149,10,SHIPPED
O00038,C0035,P014,2025-07-03,1,249,5,CANCELLED
O00039,C0022,P027,2025-06-28,2,499,15,PLACED
O00040,C0051,P019,2025-07-23,1,99,10,SHIPPED
O00041,C0060,P006,2025-03-13,3,249,5,SHIPPED
O00042,C0059,P011,2025-05-26,4,199,10,DELIVERED
O00043,C0011,P016,2025-03-05,5,99,5,SHIPPED
O00044,C0009,P025,2025-08-14,1,99,0,SHIPPED
O00045,C0003,P020,2025-04-09,2,149,10,PLACED
O00046,C0073,P007,2025-06-28,3,199,0,UNKNOWN
O00047,C0078,P020,2025-03-30,2,199,0,RETURNED
O00048,C0004,P030,2025-05-19,5,249,10,SHIPPED
O00049,C0010,P019,2025-08-24,2,99,5,RETURNED
O00050,C0016,P026,2025-07-23,1,199,15,CANCELLED
O00051,C0048,P003,2025-07-08,3,99,10,CANCELLED
O00052,C0014,P014,2025-06-01,4,149,10,SHIPPED
O00053,C0067,P021,2025-05-09,5,499,10,CANCELLED
O00054,C0056,P027,2025-07-30,3,199,0,PLACED
O00055,C0036,P029,2025-06-24,2,249,15,RETURNED
O00056,C0049,P011,2025-03-08,4,199,0,CANCELLED
O00057,C0028,P012,2025-05-06,3,199,15,DELIVERED
O00058,C0072,P001,2025-07-11,2,99,0,CANCELLED
O00059,C0063,P018,2025-05-01,4,249,10,PLACED
O00060,C0012,P010,2025-04-26,4,149,5,RETURNED
O00061,C0048,P016,2025-07-20,5,199,10,RETURNED
O00062,C0043,P012,2025-08-27,4,199,5,DELIVERED
O00063,C0030,P004,2025-04-19,3,99,15,SHIPPED
O00064,C0025,P007,2025-07-02,3,499,15,RETURNED
O00065,C0037,P004,2025-04-19,3,149,5,SHIPPED
O00066,C0039,P001,2025-07-15,2,199,0,PLACED
O00067,C0071,P010,2025-08-26,2,249,0,PLACED
O00068,C0074,P010,2025-06-29,4,249,5,SHIPPED
O00069,C0007,P009,2025-07-01,1,99,10,CANCELLED
O00070,C0010,P019,2025-08-09,1,149,0,RETURNED
O00071,C0039,P003,2025-05-03,1,499,10,RETURNED
O00072,C0077,P026,2025-08-06,2,499,10,CANCELLED
O00073,C0057,P010,2025-07-29,4,199,15,RETURNED
O00074,C0008,P020,2025-03-26,2,149,5,PLACED
O00075,C0021,P008,2025-04-14,5,99,0,PLACED
O00076,C0053,P015,2025-08-24,5,249,5,PLACED
O00077,C0030,P010,2025-08-28,3,249,0,SHIPPED
O00078,C0034,P026,2025-08-08,5,149,10,PLACED
O00079,C0070,P008,2025-08-13,2,199,0,PLACED
O00080,C0008,P006,2025-05-18,5,499,5,CANCELLED
O00081,C0016,P015,2025-08-24,3,249,5,RETURNED
O00082,C0070,P016,2025-06-21,1,499,0,CANCELLED
O00083,C0042,P020,2025-05-04,1,99,0,RETURNED
O00084,C0076,P001,2025-08-20,3,499,0,SHIPPED
O00085,C0061,P017,2025-08-14,4,199,0,RETURNED
O00086,C0056,P021,2025-07-04,1,249,5,CANCELLED
O00087,C0043,P011,2025-08-19,1,149,5,CANCELLED
O00088,C0064,P010,2025-08-17,4,499,0,CANCELLED
O00089,C0012,P011,2025-05-04,3,99,10,RETURNED
O00090,C0001,P022,2025-07-17,4,249,0,SHIPPED
O00091,C0067,P012,2025-08-07,4,249,0,SHIPPED
O00092,C0035,P018,2025-04-03,3,249,10,PLACED
O00093,C0004,P021,2025-08-03,2,149,5,RETURNED
O00094,C0002,P018,2025-06-13,1,149,0,CANCELLED
O00095,C0016,P021,2025-04-09,4,199,15,DELIVERED
O00096,C0054,P027,2025-07-02,4,149,10,RETURNED
O00097,C0019,P013,2025-04-18,5,499,0,PLACED
O00098,C0036,P025,2025-06-15,3,499,5,PLACED
O00099,C0037,P024,2025-05-16,5,499,10,SHIPPED
